Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,1.627500,1.739583,1.622292,1.730208,1.726509,864000
2010-02-12,1.683125,1.752292,1.673333,1.737292,1.733577,2150400
2010-02-16,1.778125,1.808750,1.750208,1.804583,1.800725,2404800
2010-02-17,1.828750,1.835625,1.801250,1.835208,1.831285,4795200
2010-02-18,1.833333,1.881042,1.822292,1.870000,1.866002,9715200
2010-02-19,1.857292,1.894375,1.843125,1.870000,1.866002,11620800
2010-02-22,1.892083,1.892083,1.835833,1.856875,1.852905,6374400
2010-02-23,1.846667,1.856667,1.759792,1.784375,1.780560,10281600
2010-02-24,1.815833,1.859375,1.806042,1.838333,1.834403,8827200
2010-02-25,1.779583,1.849792,1.743958,1.837292,1.833364,11404800
2010-02-26,1.831875,1.867917,1.813750,1.860208,1.856231,7200000
2010-03-01,1.883750,1.947917,1.883750,1.940000,1.935852,3556800
2010-03-02,1.957083,1.993750,1.946458,1.951667,1.947494,6052800
2010-03-03,1.973542,1.990625,1.943542,1.962500,1.958304,5995200
2010-03-04,1.969375,1.986875,1.938750,1.984167,1.979925,3681600
2010-03-05,2.026458,2.081042,2.015625,2.071875,2.067446,3360000
2010-03-08,2.073750,2.097917,2.073750,2.082917,2.078464,3168000
2010-03-09,2.071458,2.152292,2.069792,2.119792,2.115260,5803200
2010-03-10,2.122708,2.184583,2.121250,2.171667,2.167024,5011200
2010-03-11,2.158542,2.194792,2.144167,2.191667,2.186981,6739200
2010-03-12,2.215833,2.215833,2.171458,2.196667,2.191970,4516800
2010-03-15,2.182083,2.196875,2.135417,2.181875,2.177210,5299200
2010-03-16,2.203333,2.229375,2.180417,2.223125,2.218372,5822400
2010-03-17,2.229375,2.270208,2.220000,2.238542,2.233756,4977600
2010-03-18,2.246250,2.268333,2.231458,2.261250,2.256416,6523200
2010-03-19,2.221250,2.286042,2.197500,2.221250,2.216501,5006400
2010-03-22,2.195208,2.307917,2.186875,2.281250,2.276373,7348800
2010-03-23,2.296875,2.333958,2.261250,2.328958,2.323979,6916800
2010-03-24,2.312500,2.317500,2.281250,2.295833,2.290925,11155200
2010-03-25,2.351875,2.376458,2.279583,2.281458,2.276581,11740800
2010-03-26,2.313958,2.337292,2.257292,2.293333,2.288430,10536000
2010-03-29,2.327917,2.348542,2.307708,2.324792,2.319822,4756800
2010-03-30,2.343958,2.369375,2.301458,2.349167,2.344144,4987200
2010-03-31,2.322917,2.354167,2.301458,2.317500,2.312546,7444800
2010-04-01,2.343333,2.388125,2.261042,2.312917,2.307972,14577600
2010-04-05,2.329792,2.393750,2.312500,2.379792,2.374704,8448000
2010-04-06,2.361667,2.419583,2.346667,2.397917,2.392790,7339200
2010-04-07,2.389792,2.415833,2.342708,2.384375,2.379277,13281600
2010-04-08,2.360208,2.406875,2.324167,2.392917,2.387801,8707200
2010-04-09,2.400833,2.441875,2.382292,2.436042,2.430834,7262400
2010-04-12,2.444375,2.464583,2.428333,2.445833,2.440604,6100800
2010-04-13,2.437917,2.486667,2.415833,2.482708,2.477400,8404800
2010-04-14,2.518125,2.572292,2.512917,2.570208,2.564713,7636800
2010-04-15,2.567500,2.614167,2.565208,2.604583,2.599015,5721600
2010-04-16,2.577083,2.602292,2.463542,2.511875,2.506505,16185600
2010-04-19,2.488333,2.530833,2.416667,2.507917,2.502555,14092800
2010-04-20,2.546875,2.562500,2.499167,2.545000,2.539559,7012800
2010-04-21,2.596667,2.611875,2.541667,2.589792,2.584255,10497600
2010-04-22,2.514167,2.636875,2.471250,2.628125,2.622506,15355200
2010-04-23,2.630625,2.671250,2.599583,2.662917,2.657223,10296000
2010-04-26,2.664792,2.684792,2.630208,2.643125,2.637474,10065600
2010-04-27,2.617500,2.645417,2.458333,2.480000,2.474698,16718400
2010-04-28,2.518125,2.520625,2.425625,2.485833,2.480519,15633600
2010-04-29,2.520417,2.625208,2.520208,2.612708,2.607122,10593600
2010-04-30,2.608750,2.621042,2.452292,2.458750,2.453493,11064000
2010-05-03,2.487500,2.596250,2.486875,2.559167,2.553695,6576000
2010-05-04,2.462292,2.462500,2.277292,2.332917,2.327929,17155200
2010-05-05,2.259792,2.335625,2.216667,2.294583,2.289678,17313600
2010-05-06,2.247292,2.312083,1.416667,2.069792,2.065367,27225600
2010-05-07,2.015000,2.090208,1.785625,1.919167,1.915064,31032000
2010-05-10,2.161458,2.211875,2.149583,2.205417,2.200702,23659200
2010-05-11,2.143125,2.291667,2.130625,2.203958,2.199246,18379200
2010-05-12,2.234167,2.327500,2.225833,2.322708,2.317743,13569600
2010-05-13,2.300417,2.348750,2.203750,2.217708,2.212967,13195200
2010-05-14,2.163333,2.166250,2.010417,2.081250,2.076801,19272000
2010-05-17,2.101458,2.132708,1.975000,2.109375,2.104865,17107200
2010-05-18,2.160833,2.172917,1.991667,2.028750,2.024413,23827200
2010-05-19,1.993750,2.041667,1.904792,1.975208,1.970986,29721600
2010-05-20,1.855625,1.868958,1.738542,1.775417,1.771621,34123200
2010-05-21,1.667292,1.844375,1.649583,1.789167,1.785342,29289600
2010-05-24,1.798958,1.865625,1.783125,1.803958,1.800102,19377600
2010-05-25,1.670000,1.796875,1.616667,1.791250,1.787421,21580800
2010-05-26,1.818958,1.893750,1.722500,1.735833,1.732122,26040000
2010-05-27,1.851458,1.928542,1.836458,1.923750,1.919637,21652800
2010-05-28,1.936458,1.941875,1.843750,1.896875,1.892820,20836800
2010-06-01,1.876875,1.973750,1.833333,1.844375,1.840432,25339200
2010-06-02,1.875000,1.974167,1.835000,1.974167,1.969946,14179200
2010-06-03,1.988750,2.036667,1.951250,2.025417,2.021087,14356800
2010-06-04,1.898333,1.973958,1.798750,1.825417,1.821514,30744000
2010-06-07,1.843125,1.863333,1.716667,1.719583,1.715907,21091200
2010-06-08,1.731875,1.743333,1.641875,1.710000,1.706344,33240000
2010-06-09,1.744583,1.793542,1.653125,1.672292,1.668716,28680000
2010-06-10,1.730625,1.814583,1.716458,1.811042,1.807170,19440000
2010-06-11,1.754792,1.865625,1.754792,1.858333,1.854360,15667200
2010-06-14,1.913542,1.950208,1.851875,1.859375,1.855400,28425600
2010-06-15,1.890208,2.016875,1.884583,1.995208,1.990943,25012800
2010-06-16,1.993542,2.062500,1.983750,2.035417,2.031065,19795200
2010-06-17,2.067292,2.070417,2.002917,2.055833,2.051438,20380800
2010-06-18,2.066458,2.102917,2.040833,2.061458,2.057051,17448000
2010-06-21,2.136667,2.145833,1.973333,2.007292,2.003000,27489600
2010-06-22,2.030417,2.074583,1.949583,1.959792,1.955602,22449600
2010-06-23,1.967083,1.987292,1.889583,1.933542,1.929408,28089600
2010-06-24,1.910417,1.927083,1.829167,1.839792,1.835858,29928000
2010-06-25,1.863750,1.884583,1.799375,1.838542,1.834611,22195200
2010-06-28,1.840000,1.867500,1.782500,1.822083,1.818188,20520000
2010-06-29,1.736458,1.739583,1.570833,1.618750,1.615289,54777600
2010-06-30,1.594583,1.640208,1.526042,1.538750,1.535460,22958400
2010-07-01,1.547292,1.560208,1.434583,1.523750,1.520492,31540800
2010-07-02,1.527708,1.545417,1.468750,1.515417,1.512177,18422400
2010-07-06,1.573333,1.602292,1.485000,1.523333,1.520077,19569600
2010-07-07,1.536458,1.671875,1.532708,1.667292,1.663727,20097600
2010-07-08,1.707292,1.713958,1.636667,1.695417,1.691792,25920000
2010-07-09,1.691042,1.750000,1.682083,1.742917,1.739190,17832000
2010-07-12,1.736458,1.788958,1.725833,1.762708,1.758940,12364800
2010-07-13,1.803958,1.846250,1.765000,1.822917,1.819019,21768000
2010-07-14,1.838542,1.883125,1.814792,1.852083,1.848124,13689600
2010-07-15,1.844375,1.874792,1.784375,1.858542,1.854568,14275200
2010-07-16,1.842292,1.844583,1.700833,1.708958,1.705305,22670400
2010-07-19,1.718750,1.758333,1.677292,1.747500,1.743764,15528000
2010-07-20,1.660833,1.810000,1.647500,1.802708,1.798854,15993600
2010-07-21,1.870833,1.870833,1.727917,1.739583,1.735864,21561600
2010-07-22,1.807500,1.892708,1.807500,1.856875,1.852905,15806400
2010-07-23,1.830833,1.907500,1.820625,1.905208,1.901135,17356800
2010-07-26,1.913542,1.952500,1.886875,1.947083,1.942921,12595200
2010-07-27,1.975833,1.984583,1.922292,1.946667,1.942505,14961600
2010-07-28,1.942708,1.967083,1.881250,1.906875,1.902798,9696000
2010-07-29,1.933333,1.945833,1.802500,1.861458,1.857479,19094400
2010-07-30,1.814167,1.905000,1.781458,1.874167,1.870160,16228800
2010-08-02,1.943542,1.989583,1.922083,1.975000,1.970778,11270400
2010-08-03,1.971250,1.977500,1.923750,1.954583,1.950405,8001600
2010-08-04,1.980208,2.016667,1.954583,2.011042,2.006742,10113600
2010-08-05,1.980833,2.006250,1.957083,1.999167,1.994892,8308800
2010-08-06,1.927292,1.998333,1.898542,1.989792,1.985538,19094400
2010-08-09,2.017083,2.041667,1.991250,2.024583,2.020255,10704000
2010-08-10,1.979167,2.009375,1.927500,1.981667,1.977430,19752000
2010-08-11,1.876458,1.877708,1.789792,1.818542,1.814654,19363200
2010-08-12,1.709583,1.792292,1.699375,1.767292,1.763513,18240000
2010-08-13,1.752708,1.772708,1.732083,1.732083,1.728380,7243200
2010-08-16,1.706250,1.776875,1.684375,1.741875,1.738151,11928000
2010-08-17,1.780833,1.854792,1.770417,1.808125,1.804260,15009600
2010-08-18,1.798958,1.861042,1.778333,1.824375,1.820475,8894400
2010-08-19,1.798542,1.817083,1.710417,1.757292,1.753535,12801600
2010-08-20,1.739583,1.764583,1.708542,1.751250,1.747506,11073600
2010-08-23,1.790417,1.801042,1.700417,1.702917,1.699276,13526400
2010-08-24,1.647292,1.659583,1.585417,1.605208,1.601776,18100800
2010-08-25,1.573958,1.673125,1.566250,1.653333,1.649799,18019200
2010-08-26,1.674583,1.677292,1.588542,1.599375,1.595956,16622400
2010-08-27,1.627292,1.659375,1.529167,1.652292,1.648759,24057600
2010-08-30,1.626875,1.670417,1.598333,1.598750,1.595332,13142400
2010-08-31,1.575000,1.624375,1.552292,1.590833,1.587432,19555200
2010-09-01,1.652083,1.740208,1.649792,1.724167,1.720481,16204800
2010-09-02,1.734792,1.783333,1.721667,1.783333,1.779521,6787200
2010-09-03,1.837500,1.874167,1.818542,1.874167,1.870160,16910400
2010-09-07,1.848958,1.871250,1.824583,1.828542,1.824632,12172800
2010-09-08,1.848958,1.923542,1.848958,1.893125,1.889078,14236800
2010-09-09,1.952083,1.955208,1.909167,1.917083,1.912985,11294400
2010-09-10,1.931042,1.948125,1.899583,1.937708,1.933566,7992000
2010-09-13,1.988333,2.037708,1.986458,2.023125,2.018800,10464000
2010-09-14,2.014583,2.080000,2.002917,2.048750,2.044370,10593600
2010-09-15,2.032500,2.093750,2.016042,2.083542,2.079087,8457600
2010-09-16,2.082292,2.116458,2.060208,2.112917,2.108400,11721600
2010-09-17,2.156042,2.156042,2.103125,2.135417,2.130851,14352000
2010-09-20,2.159375,2.258125,2.151875,2.246667,2.241863,13195200
2010-09-21,2.248542,2.291667,2.215833,2.239583,2.234795,21734400
2010-09-22,2.214583,2.272708,2.191667,2.228958,2.224193,12072000
2010-09-23,2.183333,2.289583,2.176667,2.222292,2.217541,17136000
2010-09-24,2.301667,2.362500,2.290625,2.348125,2.343105,15816000
2010-09-27,2.358958,2.371250,2.314792,2.321250,2.316287,12139200
2010-09-28,2.343125,2.343125,2.210000,2.327083,2.322108,18278400
2010-09-29,2.308750,2.340208,2.282292,2.308333,2.303398,7982400
2010-09-30,2.343333,2.384583,2.231875,2.277083,2.272215,22185600
2010-10-01,2.330417,2.339792,2.236458,2.270000,2.265147,14630400
2010-10-04,2.247292,2.270417,2.155833,2.191250,2.186566,15480000
2010-10-05,2.268958,2.365625,2.265208,2.354375,2.349341,13723200
2010-10-06,2.344583,2.359375,2.248125,2.294375,2.289470,11064000
2010-10-07,2.333333,2.335000,2.261250,2.316875,2.311922,9868800
2010-10-08,2.321042,2.380417,2.273750,2.363542,2.358488,8568000
2010-10-11,2.370208,2.401250,2.346875,2.368333,2.363270,4766400
2010-10-12,2.352708,2.430208,2.297292,2.417500,2.412332,12216000
2010-10-13,2.462083,2.506458,2.441250,2.476250,2.470956,12105600
2010-10-14,2.479167,2.493542,2.424792,2.462500,2.457235,9969600
2010-10-15,2.550625,2.619583,2.493750,2.619583,2.613983,14947200
2010-10-18,2.623750,2.646458,2.591458,2.619583,2.613983,10872000
2010-10-19,2.515833,2.575833,2.454792,2.515417,2.510039,15912000
2010-10-20,2.540000,2.624375,2.524167,2.567708,2.562219,11683200
2010-10-21,2.619583,2.647917,2.510625,2.585625,2.580097,13713600
2010-10-22,2.588750,2.641875,2.575208,2.636042,2.630406,7339200
2010-10-25,2.667708,2.721458,2.667708,2.676042,2.670321,9648000
2010-10-26,2.633958,2.710833,2.603125,2.692083,2.686328,9355200
2010-10-27,2.657708,2.726667,2.643125,2.719792,2.713977,14107200
2010-10-28,2.757500,2.758958,2.670625,2.735417,2.729568,13473600
2010-10-29,2.734792,2.766458,2.718750,2.722292,2.716471,10094400
2010-11-01,2.750000,2.805625,2.689583,2.728542,2.722708,10651200
2010-11-02,2.794167,2.833958,2.781250,2.811250,2.805239,8515200
2010-11-03,2.825417,2.852708,2.748125,2.851875,2.845778,14395200
2010-11-04,2.951250,2.987917,2.930625,2.952917,2.946604,13982400
