"date","close","volume","open","high","low"
"16:00","266.97","3,976,528","268.57","268.75","266"
"2019/07/01","266.9700","3976528.0000","268.4500","268.7500","266.0000"
"2019/06/28","265.8500","2176213.0000","265.9400","266.2600","265.0700"
"2019/06/27","265.1500","1991505.0000","265.4500","265.9100","264.5000"
"2019/06/26","265.2200","2141421.0000","266.1200","266.4900","265.2100"
"2019/06/25","265.2600","7240308.0000","267.3900","267.4000","265.1300"
"2019/06/24","267.1700","1654193.0000","267.3300","267.9100","267.1000"
"2019/06/21","267.1000","4446832.0000","267.2900","268.9600","266.9010"
"2019/06/20","268.0800","3471763.0000","268.0500","268.5000","265.9000"
"2019/06/19","265.5600","3920808.0000","265.4000","266.2100","264.6300"
"2019/06/18","265.3300","6147714.0000","263.2300","265.8000","262.9400"
"2019/06/17","261.6800","1319478.0000","261.6400","262.1800","260.9700"
"2019/06/14","261.5100","2260930.0000","261.2400","262.1300","260.4300"
"2019/06/13","261.5600","1882693.0000","261.3400","261.8800","260.3737"
"2019/06/12","260.4500","1725501.0000","260.8000","261.2600","259.9900"
"2019/06/11","260.8800","2792090.0000","262.6600","262.8700","256.9500"
"2019/06/10","260.9900","3495929.0000","261.8800","262.5000","260.9400"
"2019/06/07","260.2500","3124909.0000","258.4600","261.1200","258.4000"
"2019/06/06","257.7200","2796177.0000","256.1200","258.3500","255.5300"
"2019/06/05","255.7300","2792381.0000","255.2200","255.8000","254.0700"
"2019/06/04","253.6500","3796064.0000","250.7300","253.7000","250.5100"
"2019/06/03","248.5000","5479627.0000","248.3400","249.6100","247.0400"
"2019/05/31","248.2200","4891080.0000","249.3900","250.0700","248.2200"
"2019/05/30","251.8700","3454668.0000","251.7700","252.3400","250.8200"
"2019/05/29","251.2700","5192067.0000","252.0800","252.2800","249.4800"
"2019/05/28","253.4700","4580059.0000","256.1200","257.2100","253.4600"
"2019/05/24","256.1200","2258897.0000","256.2100","256.6800","255.0200"
"2019/05/23","254.7600","4616946.0000","255.3200","255.3500","253.2800"
"2019/05/22","257.6000","2942596.0000","257.9100","258.8600","257.4700"
"2019/05/21","258.7700","2376711.0000","258.2000","258.8800","257.6800"
"2019/05/20","256.6700","2613302.0000","256.2100","257.4100","255.4900"
"2019/05/17","257.4400","3652916.0000","256.3600","259.3926","256.2100"
"2019/05/16","259.1600","3889707.0000","258.0000","260.0800","257.8500"
"2019/05/15","256.9200","4151403.0000","254.1700","257.6300","253.7400"
"2019/05/14","255.8100","4308796.0000","254.4000","257.2300","254.2400"
"2019/05/13","253.4700","6326032.0000","254.6700","255.7000","252.5900"
"2019/05/10","259.9200","5456134.0000","257.5800","260.5400","255.0400"
"2019/05/09","258.4400","7175426.0000","257.7400","259.0900","255.3701"
"2019/05/08","259.6600","4115167.0000","259.4100","261.1067","258.8100"
"2019/05/07","259.5200","6758077.0000","261.9800","262.4900","257.8100"
"2019/05/06","264.2700","3282557.0000","260.3500","264.7000","260.0800"
"2019/05/03","264.9700","2161568.0000","264.3200","265.2500","263.6000"
"2019/05/02","262.8800","3660196.0000","263.7600","264.4450","261.6800"
"2019/05/01","264.1500","2902461.0000","266.4700","266.8100","264.1400"
"2019/04/30","265.7900","2257449.0000","266.0100","266.0550","264.1000"
"2019/04/29","265.4400","1519135.0000","265.3200","265.9100","265.0800"
"2019/04/26","265.3400","1882729.0000","264.4200","265.3400","263.8600"
"2019/04/25","264.5300","2331165.0000","264.0600","265.2500","262.9800"
"2019/04/24","265.9200","1895044.0000","266.3800","266.7000","265.7300"
"2019/04/23","266.4800","3392890.0000","265.4501","266.8600","265.0632"
"2019/04/22","265.0700","1600227.0000","264.6000","265.4400","264.4400"
"2019/04/18","265.5600","3468268.0000","264.9800","265.9300","264.3600"
"2019/04/17","264.5300","2871982.0000","265.1000","265.1900","263.9200"
"2019/04/16","264.5300","2526193.0000","265.2800","265.3200","263.9300"
"2019/04/15","263.8100","2189438.0000","264.0200","264.1900","263.1500"
"2019/04/12","264.0700","3394183.0000","263.8739","264.3877","263.0800"
"2019/04/11","261.4000","2730948.0000","261.9200","262.2500","260.5800"
"2019/04/10","261.6000","3602548.0000","261.9000","262.0700","261.0000"
"2019/04/09","261.5100","4160332.0000","262.1200","262.1400","260.9500"
"2019/04/08","263.2200","3230505.0000","262.8300","263.4000","262.3700"
"2019/04/05","264.1600","3110510.0000","264.5600","264.8400","263.6100"
"2019/04/04","263.7800","4394174.0000","262.2200","263.9400","262.1100"
"2019/04/03","262.0000","3232044.0000","262.5800","262.7200","261.2200"
"2019/04/02","261.6900","2315104.0000","262.0000","262.0700","261.0800"
"2019/04/01","262.3900","6034029.0000","261.2300","262.6600","260.5800"
"2019/03/29","259.1300","4248347.0000","258.5820","259.3400","257.5700"
"2019/03/28","257.0800","2432997.0000","256.9200","257.2800","255.5900"
"2019/03/27","256.1100","3160369.0000","256.6300","257.4300","254.1000"
"2019/03/26","256.4600","3276588.0000","257.0500","257.8300","255.3000"
"2019/03/25","255.0700","4980784.0000","254.6900","255.8900","253.5700"
"2019/03/22","254.9600","6221668.0000","257.9200","258.6400","254.8650"
"2019/03/21","259.5800","3794854.0000","256.3800","259.9700","256.3500"
"2019/03/20","257.2900","4379256.0000","258.4600","259.1700","256.5500"
"2019/03/19","258.8800","4756792.0000","260.1100","260.9600","258.0000"
"2019/03/18","258.9900","2785465.0000","257.9400","259.1167","257.7102"
"2019/03/15","258.3400","4225135.0000","257.5800","259.1500","256.3300"
"2019/03/14","257.5400","3409617.0000","257.3300","257.9400","256.6200"
