strategy,parameters,cagr,max_drawdown,volatility,sharpe_ratio,trade_count
buy_and_hold,{'ticker': 'SPY'},0.30398066430602855,-0.025637972428762645,0.06317507561410096,2.933164482130592,12
buy_and_hold,{'ticker': 'DIA'},0.3717780449009995,-0.02739639392706139,0.06130684302170649,3.5918891076762325,12
moving_average_filter,"{'ticker': 'SPY', 'short_window': 10, 'long_window': 100}",0.1681460081895385,-0.016554604049012323,0.03987396423229754,2.7114318615130863,22
moving_average_filter,"{'ticker': 'SPY', 'short_window': 10, 'long_window': 200}",0.12900585359792371,-0.01025378293179513,0.02991410373687854,2.815746143140474,6
moving_average_filter,"{'ticker': 'SPY', 'short_window': 20, 'long_window': 100}",0.17679618856576185,-0.013584657154035007,0.03686978769184462,3.067440673181597,19
moving_average_filter,"{'ticker': 'SPY', 'short_window': 20, 'long_window': 200}",0.12210240523383553,-0.010238158220950866,0.02881737846378305,2.774801341080318,4
moving_average_filter,"{'ticker': 'DIA', 'short_window': 10, 'long_window': 100}",0.18862757666341734,-0.010696279759323635,0.03836132174922934,3.129752218206198,20
moving_average_filter,"{'ticker': 'DIA', 'short_window': 10, 'long_window': 200}",0.11125980787331247,-0.007474443791769314,0.02809931347273541,2.6063490205085493,7
moving_average_filter,"{'ticker': 'DIA', 'short_window': 20, 'long_window': 100}",0.23750764534169644,-0.019430683191091536,0.040208581787403316,3.6801298970960667,12
moving_average_filter,"{'ticker': 'DIA', 'short_window': 20, 'long_window': 200}",0.1198903770437465,-0.0072217527299845985,0.027772398332084634,2.829080116960291,5
